mapsName,mapsAddress,mapsSite,mapsPhone,firstMatch
SCHNEIDER Cie,"3 Rue Pasteur, 91170 Viry-Châtillon",schneider-cie.fr,01 69 84 21 00,True
Vitakraft Simon Louis,"1 Rue d'Arpajon, 91680 Bruyères-le-Châtel",vitakraft.fr,01 69 26 87 00,True
Schneider Electric Hold Asie Pacifique,"Hive, 35 Rue Joseph Monier, 92500 Rueil-Malmaison",se.com,01 41 39 39 95,True
Charles Pozzi Ferrari - Service,"6 Rue Jules Guesde, 92300 Levallois-Perret",paris.ferraridealers.com,01 86 26 70 79,False
Valeo Equipements Electriques Moteur,"2 Rue André Charles Boulle, 94000 Créteil",valeo.com,01 48 98 86 00,True
FIDUCIAL OFFICE SOLUTIONS,"41 Rue du Capitaine Guynemer, 92400 Courbevoie",,04 72 20 76 31,True
FOUASSIN électricité,"2 Rue Nicéphore Niépce, 91420 Morangis",grouperougnon.fr,01 69 79 68 68,True
Clinique de Villeneuve-Saint-Georges - Ramsay Santé,"47 Rue de Crosne, 94190 Villeneuve-Saint-Georges",ramsaysante.fr,01 45 10 82 00,True
L. Bouget,"33 Av. de la Commune de Paris, 91220 Brétigny-sur-Orge",bouget.fr,01 60 84 49 81,True
Dubocq,"1 D8, 91770 Saint-Vrain",dubocqsa.fr,01 64 56 13 94,True
Transdev Cœur Essonne Montlhery,"123 Rue Paul Fort, 91312 Montlhéry",keolis-meyer.com,01 69 01 00 09,True
NA,NA,NA,NA,NA
Domafrais,"1 Av. des Froides Bouillies, 91420 Morangis",,01 69 74 73 80,True
AUTODISTRIBUTION,"22 Av. Aristide Briand, 94110 Arcueil",autodistribution.fr,01 69 79 89 89,True
Intersport France,"2 Rue Victor Hugo, 91160 Longjumeau",intersport.fr,01 69 10 82 00,True
Wacker Neuson S.A.S,"335 Rue Gloriette, 77170 Brie-Comte-Robert",,01 60 62 30 00,True
TOUPRET SA,"24 Rue du 14 Juillet, 91100 Corbeil-Essonnes",toupret.com,01 69 47 20 20,True
Clinique de l'Yvette,"67-71 Rte de Corbeil, 91160 Longjumeau",clinique-yvette.com,01 86 86 10 10,True
Darégal (Siège Social),"6 Bd du Maréchal Joffre, 91490 Milly-la-Forêt",daregal.fr,01 64 98 29 00,True
Merkhofer,"8 Av. Louis Braille, 91420 Morangis",,01 69 09 58 69,True
Inventec Performance Chemicals,"26 Rue des Coulons, 94360 Bry-sur-Marne",inventec.dehon.com,01 64 21 28 40,True
Clinalliance SMR Villiers-Sur-Orge,"43 Rue de Verdun, 91700 Villiers-sur-Orge",clinalliance.fr,01 69 46 70 00,True
Union Primeurs Etablissements Laurance,"13 Rue des Cerisiers, 91090 Lisses",laurance-primeurs.fr,01 69 64 48 35,True
ESSONNE HABITAT,"2 All. Eugène Mouchot, 91130 Ris-Orangis",essonne-habitat.fr,01 69 25 46 00,True
Pom'Alliance,"87 Av. de l'Aérodrome, 94310 Orly",pom-alliance.fr,01 48 92 31 17,True
Clinique Pasteur,"17 Av. de Rigny, 91130 Ris-Orangis",clinique-pasteur-risorangis.fr,01 69 25 69 00,True
Clinique de l'Essonne,"1-5 Rue de la Clairière, 91024 Évry-Courcouronnes",maternite-evry.fr,01 60 87 86 00,False
Daikin Airconditioning France - Siège Social,"31 Rue des Hautes Pâtures, 92000 Nanterre",daikin.fr,01 46 69 95 69,True
Centre Médico Chirurgical et Obstétrical d'Evry,"1 Rue Alexandre Soljenitsyne, 91000 Évry-Courcouronnes",,01 69 47 21 40,False
"VELUX France - Fenêtres de Toit, Stores","1 Rue Paul Cézanne, 91420 Morangis",velux.fr,0 806 80 15 15,True
ESARIS INDUSTRIES - Site de Lisses,"14 Rue Léonard de Vinci, 91090 Lisses",ati-interco.fr,01 69 36 64 20,True
SATELEC,"24 Av. du Général de Gaulle, 91170 Viry-Châtillon",satelec.fayat.com,01 69 56 56 56,True
Ehpad Korian Le Gâtinais,"35 Rue de la Ferté Alais, 91720 Maisse",korian.fr,01 64 99 51 71,True
Hilti France,"126 Rue Gallieni, 92100 Boulogne-Billancourt",hilti.fr,0 825 01 05 05,True
NA,NA,NA,NA,NA
Clinique Boyer - Clinique de Soins de Suite et de Réadaptation,"17 Rue de l'Église, 94190 Villeneuve-Saint-Georges",clinique-boyer.fr,01 45 10 97 97,True
SICK,"ZI Paris Est, 21 Bd de Beaubourg, 77184 Émerainville",sick.fr,01 64 62 35 00,True
Taquet Cloisons,"25 Rue du Pont d'Avignon, 91290 Arpajon",taquet-cloisons.com,01 60 83 12 72,True
Semardel,"Ecosite de Vert-le-Grand, 91810 Vert-le-Grand",semardel.fr,01 64 56 03 63,False
TENTE,"11 Rue de l'Orme Brise, 77310 Pringy",tente.com,01 60 65 23 00,True
Electrolux,"10 Av. du Stade de France, 93210 Saint-Denis",electrolux.fr,0 809 10 01 00,True
JPG,"63 Grande Rue, 95470 Survilliers",jpg.fr,NA,False
SAINT-GOBAIN VITRAGE BÂTIMENT La Défense,"Tour Saint-Gobain, 12 Pl. de l'Iris, 92400 Courbevoie",saint-gobain-glass.fr,01 88 54 00 00,False
Stef SA,"93 Bd Malesherbes, 75008 Paris",stef.com,01 40 74 29 00,True
NA,NA,NA,NA,NA
